Crop,Water Requirement (mm),Liters per Hectare (L/ha),Liters per Acre (L/ac)
Barley,500,5000000,2020000
Bitter Gourd,600,6000000,2430000
Bottle Gourd,550,5500000,2230000
Cowpea,400,4000000,1620000
Cucumber,500,5000000,2020000
Groundnut,510,5100000,2060000
Maize,500,5000000,2020000
Millets,450,4500000,1820000
Muskmelon,550,5500000,2230000
Mustard,400,4000000,1620000
Okra,450,4500000,1820000
Potato,600,6000000,2430000
Pulses,350,3500000,1420000
Pumpkin,500,5000000,2020000
Rice,1300,13000000,5270000
Soybean,450,4500000,1820000
Sponge Gourd,500,5000000,2020000
Sugarcane,2200,22000000,8910000
Sunflower,450,4500000,1820000
Tomato,600,6000000,2430000
Watermelon,500,5000000,2020000
Wheat,550,5500000,2230000
